Year,Indicator Name,Value,Indicator_Code,Value_original,Value_converted,was_whole_number
2020,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.05,IND_001,1.05,1.05,False
2019,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.02,IND_001,1.02,1.02,False
2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.02,IND_001,1.02,1.02,False
2017,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.03,IND_001,1.03,1.03,False
2016,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.05,IND_001,1.05,1.05,False
2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.04,IND_001,1.04,1.04,False
2014,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.04,IND_001,1.04,1.04,False
2013,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.06,IND_001,1.06,1.06,False
2012,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.09,IND_001,1.09,1.09,False
2011,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",1.05,IND_001,1.05,1.05,False
2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.94,IND_001,0.94,0.94,False
2009,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.86,IND_001,0.86,0.86,False
2008,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.86,IND_001,0.86,0.86,False
2007,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.85,IND_001,0.85,0.85,False
2006,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.83,IND_001,0.83,0.83,False
2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.73,IND_001,0.73,0.73,False
2004,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.7,IND_001,0.7,0.7,False
2003,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.66,IND_001,0.66,0.66,False
2002,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.7,IND_001,0.7,0.7,False
2001,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.67,IND_001,0.67,0.67,False
2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0.67,IND_001,0.67,0.67,False
2020,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.91,IND_002,2.91,2.91,False
2019,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.83,IND_002,2.83,2.83,False
2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.83,IND_002,2.83,2.83,False
2017,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.86,IND_002,2.86,2.86,False
2016,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.91,IND_002,2.91,2.91,False
2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.86,IND_002,2.86,2.86,False
2014,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.86,IND_002,2.86,2.86,False
2013,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.93,IND_002,2.93,2.93,False
2012,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.01,IND_002,3.01,3.01,False
2011,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.89,IND_002,2.89,2.89,False
2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.6,IND_002,2.6,2.6,False
2009,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.41,IND_002,2.41,2.41,False
2008,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.4,IND_002,2.4,2.4,False
2007,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.37,IND_002,2.37,2.37,False
2006,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.33,IND_002,2.33,2.33,False
2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.06,IND_002,2.06,2.06,False
2004,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.98,IND_002,1.98,1.98,False
2003,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.87,IND_002,1.87,1.87,False
2002,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.96,IND_002,1.96,1.96,False
2001,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.88,IND_002,1.88,1.88,False
2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.88,IND_002,1.88,1.88,False
2020,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.98,IND_003,4.98,4.98,False
2019,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.83,IND_003,4.83,4.83,False
2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.83,IND_003,4.83,4.83,False
2017,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.87,IND_003,4.87,4.87,False
2016,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.95,IND_003,4.95,4.95,False
2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.87,IND_003,4.87,4.87,False
2014,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.87,IND_003,4.87,4.87,False
2013,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.97,IND_003,4.97,4.97,False
2012,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",5.1,IND_003,5.1,5.1,False
2011,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.9,IND_003,4.9,4.9,False
2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.41,IND_003,4.41,4.41,False
2009,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.07,IND_003,4.07,4.07,False
2008,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",4.05,IND_003,4.05,4.05,False
2007,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.99,IND_003,3.99,3.99,False
2006,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.91,IND_003,3.91,3.91,False
2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.45,IND_003,3.45,3.45,False
2004,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.32,IND_003,3.32,3.32,False
2003,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.13,IND_003,3.13,3.13,False
2002,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.27,IND_003,3.27,3.27,False
2001,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.13,IND_003,3.13,3.13,False
2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",3.13,IND_003,3.13,3.13,False
2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),34.6,IND_004,34.6,34.6,False
2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),34.4,IND_004,34.4,34.4,False
2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),34.1,IND_004,34.1,34.1,False
2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.9,IND_004,33.9,33.9,False
2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.8,IND_004,33.8,33.8,False
2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.6,IND_004,33.6,33.6,False
2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.5,IND_004,33.5,33.5,False
2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.5,IND_004,33.5,33.5,False
2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.6,IND_004,33.6,33.6,False
2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),33.8,IND_004,33.8,33.8,False
2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),34.1,IND_004,34.1,34.1,False
2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),34.5,IND_004,34.5,34.5,False
2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),35.0,IND_004,35.0,35.0,True
2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),35.5,IND_004,35.5,35.5,False
2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),36.0,IND_004,36.0,36.0,True
2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),36.5,IND_004,36.5,36.5,False
2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),37.0,IND_004,37.0,37.0,True
2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),37.6,IND_004,37.6,37.6,False
2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),38.2,IND_004,38.2,38.2,False
2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),38.8,IND_004,38.8,38.8,False
2019,Prevalence of anemia among children (% of children ages 6-59 months),25.1,IND_005,25.1,25.1,False
2018,Prevalence of anemia among children (% of children ages 6-59 months),24.9,IND_005,24.9,24.9,False
2017,Prevalence of anemia among children (% of children ages 6-59 months),24.7,IND_005,24.7,24.7,False
2016,Prevalence of anemia among children (% of children ages 6-59 months),24.6,IND_005,24.6,24.6,False
2015,Prevalence of anemia among children (% of children ages 6-59 months),24.6,IND_005,24.6,24.6,False
2014,Prevalence of anemia among children (% of children ages 6-59 months),24.7,IND_005,24.7,24.7,False
2013,Prevalence of anemia among children (% of children ages 6-59 months),24.9,IND_005,24.9,24.9,False
2012,Prevalence of anemia among children (% of children ages 6-59 months),25.1,IND_005,25.1,25.1,False
2011,Prevalence of anemia among children (% of children ages 6-59 months),25.5,IND_005,25.5,25.5,False
2010,Prevalence of anemia among children (% of children ages 6-59 months),26.0,IND_005,26.0,26.0,True
2009,Prevalence of anemia among children (% of children ages 6-59 months),26.5,IND_005,26.5,26.5,False
2008,Prevalence of anemia among children (% of children ages 6-59 months),27.1,IND_005,27.1,27.1,False
2007,Prevalence of anemia among children (% of children ages 6-59 months),27.9,IND_005,27.9,27.9,False
2006,Prevalence of anemia among children (% of children ages 6-59 months),28.6,IND_005,28.6,28.6,False
2005,Prevalence of anemia among children (% of children ages 6-59 months),29.3,IND_005,29.3,29.3,False
2004,Prevalence of anemia among children (% of children ages 6-59 months),29.9,IND_005,29.9,29.9,False
2003,Prevalence of anemia among children (% of children ages 6-59 months),30.5,IND_005,30.5,30.5,False
2002,Prevalence of anemia among children (% of children ages 6-59 months),31.1,IND_005,31.1,31.1,False
2001,Prevalence of anemia among children (% of children ages 6-59 months),31.8,IND_005,31.8,31.8,False
2000,Prevalence of anemia among children (% of children ages 6-59 months),32.6,IND_005,32.6,32.6,False
2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),34.6,IND_006,34.6,34.6,False
2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),34.4,IND_006,34.4,34.4,False
2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),34.1,IND_006,34.1,34.1,False
2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.9,IND_006,33.9,33.9,False
2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.8,IND_006,33.8,33.8,False
2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.6,IND_006,33.6,33.6,False
2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.5,IND_006,33.5,33.5,False
2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.5,IND_006,33.5,33.5,False
2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.6,IND_006,33.6,33.6,False
2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),33.8,IND_006,33.8,33.8,False
2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),34.2,IND_006,34.2,34.2,False
2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),34.6,IND_006,34.6,34.6,False
2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),35.0,IND_006,35.0,35.0,True
2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),35.6,IND_006,35.6,35.6,False
2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),36.0,IND_006,36.0,36.0,True
2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),36.6,IND_006,36.6,36.6,False
2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),37.1,IND_006,37.1,37.1,False
2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),37.7,IND_006,37.7,37.7,False
2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),38.3,IND_006,38.3,38.3,False
2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),38.9,IND_006,38.9,38.9,False
2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.47024212360678,IND_007,9.47024212360678,9.47024212360678,False
2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.22056759576454,IND_007,9.22056759576454,9.22056759576454,False
2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.26698958098415,IND_007,8.26698958098415,8.26698958098415,False
2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.1798409621852,IND_007,11.1798409621852,11.1798409621852,False
2022,Number of infant deaths,1684.0,IND_008,1684.0,1684.0,True
2021,Number of infant deaths,1767.0,IND_008,1767.0,1767.0,True
2020,Number of infant deaths,1864.0,IND_008,1864.0,1864.0,True
2019,Number of infant deaths,1973.0,IND_008,1973.0,1973.0,True
2018,Number of infant deaths,2091.0,IND_008,2091.0,2091.0,True
2017,Number of infant deaths,2232.0,IND_008,2232.0,2232.0,True
2016,Number of infant deaths,2389.0,IND_008,2389.0,2389.0,True
2015,Number of infant deaths,2583.0,IND_008,2583.0,2583.0,True
2014,Number of infant deaths,2820.0,IND_008,2820.0,2820.0,True
2013,Number of infant deaths,3056.0,IND_008,3056.0,3056.0,True
2012,Number of infant deaths,3245.0,IND_008,3245.0,3245.0,True
2011,Number of infant deaths,3384.0,IND_008,3384.0,3384.0,True
2010,Number of infant deaths,3509.0,IND_008,3509.0,3509.0,True
2009,Number of infant deaths,5016.0,IND_008,5016.0,5016.0,True
2008,Number of infant deaths,3881.0,IND_008,3881.0,3881.0,True
2007,Number of infant deaths,4122.0,IND_008,4122.0,4122.0,True
2006,Number of infant deaths,4316.0,IND_008,4316.0,4316.0,True
2005,Number of infant deaths,4452.0,IND_008,4452.0,4452.0,True
2004,Number of infant deaths,6413.0,IND_008,6413.0,6413.0,True
2003,Number of infant deaths,4717.0,IND_008,4717.0,4717.0,True
2002,Number of infant deaths,4800.0,IND_008,4800.0,4800.0,True
2001,Number of infant deaths,4827.0,IND_008,4827.0,4827.0,True
2000,Number of infant deaths,4839.0,IND_008,4839.0,4839.0,True
1999,Number of infant deaths,4925.0,IND_008,4925.0,4925.0,True
1998,Number of infant deaths,5150.0,IND_008,5150.0,5150.0,True
1997,Number of infant deaths,5466.0,IND_008,5466.0,5466.0,True
1996,Number of infant deaths,5756.0,IND_008,5756.0,5756.0,True
1995,Number of infant deaths,6012.0,IND_008,6012.0,6012.0,True
1994,Number of infant deaths,6235.0,IND_008,6235.0,6235.0,True
1993,Number of infant deaths,6458.0,IND_008,6458.0,6458.0,True
1992,Number of infant deaths,6600.0,IND_008,6600.0,6600.0,True
1991,Number of infant deaths,6639.0,IND_008,6639.0,6639.0,True
1990,Number of infant deaths,6698.0,IND_008,6698.0,6698.0,True
1989,Number of infant deaths,7312.0,IND_008,7312.0,7312.0,True
1988,Number of infant deaths,7012.0,IND_008,7012.0,7012.0,True
1987,Number of infant deaths,7557.0,IND_008,7557.0,7557.0,True
1986,Number of infant deaths,8366.0,IND_008,8366.0,8366.0,True
1985,Number of infant deaths,9392.0,IND_008,9392.0,9392.0,True
1984,Number of infant deaths,10499.0,IND_008,10499.0,10499.0,True
1983,Number of infant deaths,11780.0,IND_008,11780.0,11780.0,True
1982,Number of infant deaths,13270.0,IND_008,13270.0,13270.0,True
1981,Number of infant deaths,14491.0,IND_008,14491.0,14491.0,True
1980,Number of infant deaths,15456.0,IND_008,15456.0,15456.0,True
1979,Number of infant deaths,16336.0,IND_008,16336.0,16336.0,True
1978,Number of infant deaths,16872.0,IND_008,16872.0,16872.0,True
1977,Number of infant deaths,17436.0,IND_008,17436.0,17436.0,True
